Composition:
0.03 ENA|CP000473|CP000473.1 Solibacter usitatus Ellin6076, complete genome.
0.00 ENA|CP001593|CP001593.1 Yersinia pestis Z176003, complete genome.
0.00 ENA|CP002275|CP002275.1 Mycobacterium indicus pranii MTCC 9506, complete genome.
0.00 ENA|CP001404|CP001404.1 Sulfolobus islandicus Y.N.15.51, complete genome.
0.00 ENA|CP001401|CP001401.1 Sulfolobus islandicus M.16.27, complete genome.
0.00 ENA|CP002425|CP002425.1 Sulfolobus islandicus REY15A, complete genome.
0.00 ENA|CP001731|CP001731.1 Sulfolobus islandicus L.D.8.5, complete genome.
0.00 ENA|CP003928|CP003928.1 Sulfolobus islandicus LAL14/1, complete genome.
0.00 ENA|CP004080|CP004080.1 Dehalococcoides mccartyi BTF08, complete genome.
0.00 ENA|CP001829|CP001829.1 Corynebacterium pseudotuberculosis C231, complete genome.
0.00 ENA|CP004079|CP004079.1 Dehalococcoides mccartyi DCMB5, complete genome.
0.00 ENA|CP002614|CP002614.1 Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1, complete genome.
0.00 ENA|AE017220|AE017220.1 Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67, complete genome.
0.00 ENA|AJ965256|AJ965256.1 Dehalococcoides sp. CBDB1 complete genome
0.00 ENA|CP001144|CP001144.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome.
0.00 ENA|CP003084|CP003084.1 Propionibacterium acnes ATCC 11828, complete genome.
0.00 ENA|CP001924|CP001924.1 Dehalococcoides sp. GT, complete genome.
0.00 ENA|CP003421|CP003421.3 Corynebacterium pseudotuberculosis 31, complete genome.
0.00 ENA|FM200053|FM200053.1 Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601 complete genome, strain AKU_12601
0.00 ENA|CP002099|CP002099.1 Salmonella enterica subsp. enterica serovar Typhi str. Ty21a, complete genome.
0.00 ENA|CP000688|CP000688.1 Dehalococcoides sp. BAV1, complete genome.
0.00 ENA|CP001275|CP001275.1 Thermomicrobium roseum DSM 5159, complete genome.
0.00 ENA|CP003497|CP003497.1 Bifidobacterium animalis subsp. lactis B420, complete genome.
0.00 ENA|AP009510|AP009510.1 Uncultured Termite group 1 bacterium phylotype Rs-D17 DNA, complete genome.
0.00 ENA|CP000518|CP000518.1 Mycobacterium sp. KMS, complete genome.
0.00 ENA|AE016958|AE016958.1 Mycobacterium avium subsp. paratuberculosis str. k10, complete genome.
0.00 ENA|CP002084|CP002084.1 Dehalogenimonas lykanthroporepellens BL-DC-9, complete genome.
0.00 ENA|CP000492|CP000492.1 Chlorobium phaeobacteroides DSM 266, complete genome.
0.00 ENA|CP001110|CP001110.1 Pelodictyon phaeoclathratiforme BU-1, complete genome.
0.00 ENA|CP000027|CP000027.1 Dehalococcoides ethenogenes 195, complete genome.
0.00 ENA|CP003215|CP003215.1 Corynebacterium diphtheriae HC04, complete genome.
0.00 ENA|CP001095|CP001095.1 Bifidobacterium longum subsp. infantis ATCC 15697, complete genome.
0.00 ENA|CP003213|CP003213.1 Corynebacterium diphtheriae HC02, complete genome.
0.00 ENA|CP003211|CP003211.1 Corynebacterium diphtheriae CDCE 8392, complete genome.
0.00 ENA|CP001100|CP001100.1 Chloroherpeton thalassium ATCC 35110, complete genome.
0.00 ENA|CP003214|CP003214.1 Corynebacterium diphtheriae HC03, complete genome.
0.00 ENA|CP000108|CP000108.1 Chlorobium chlorochromatii CaD3, complete genome.
0.00 ENA|FP929034|FP929034.1 Bifidobacterium longum subsp. longum F8 draft genome.
0.00 ENA|CP002794|CP002794.1 Bifidobacterium longum subsp. longum KACC 91563, complete genome.
0.00 ENA|CP001101|CP001101.1 Chlorobium phaeobacteroides BS1, complete genome.
0.00 ENA|CP001827|CP001827.1 Dehalococcoides sp. VS, complete genome.
0.00 ENA|CP000096|CP000096.1 Chlorobium luteolum DSM 273, complete genome.
0.00 ENA|CP002567|CP002567.1 Bifidobacterium animalis subsp. animalis ATCC 25527, complete genome.
0.00 ENA|CP001824|CP001824.1 Sphaerobacter thermophilus DSM 20745 chromosome 2, complete sequence.
0.00 ENA|CP001108|CP001108.1 Prosthecochloris aestuarii DSM 271, complete genome.
0.00 ENA|CP002385|CP002385.1 Mycobacterium gilvum Spyr1, complete genome.
0.00 ENA|CP000607|CP000607.1 Chlorobium phaeovibrioides DSM 265, complete genome.
0.00 ENA|CU458896|CU458896.1 Mycobacterium abscessus ATCC 19977 chromosome, complete sequence.
0.00 ENA|CP001099|CP001099.1 Chlorobaculum parvum NCIB 8327, complete genome.
0.00 ENA|CP001921|CP001921.1 Acinetobacter baumannii 1656-2, complete genome.
0.00 ENA|AE006470|AE006470.1 Chlorobium tepidum TLS, complete genome.
0.00 ENA|HE995405|HE995405.1 Sinorhizobium meliloti Rm41 complete genome
0.00 ENA|CP003933|CP003933.2 Sinorhizobium meliloti GR4, complete genome.
0.00 ENA|CU459141|CU459141.1 Acinetobacter baumannii str. AYE, complete genome.
0.00 ENA|CP001800|CP001800.1 Sulfolobus solfataricus 98/2, complete genome.
0.00 ENA|CP002859|CP002859.1 Runella slithyformis DSM 19594, complete genome.
0.00 ENA|BX470248|BX470248.1 Bordetella pertussis strain Tohama I, complete genome
0.00 ENA|CP003683|CP003683.1 Klebsiella michiganensis strain E718, complete genome.
0.00 ENA|CP003218|CP003218.1 Klebsiella michiganensis strain KCTC 1686, complete genome.
0.00 ENA|AP011156|AP011156.1 Acetobacter pasteurianus IFO 3283-32 DNA, complete genome.
0.00 ENA|FP929003|FP929003.1 Candidatus Nitrospira defluvii chromosome, complete genome.
0.00 ENA|CP002691|CP002691.1 Haliscomenobacter hydrossis DSM 1100, complete genome.
0.00 ENA|CP002544|CP002544.1 Odoribacter splanchnicus DSM 20712, complete genome.
0.00 ENA|AP006725|AP006725.1 Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 DNA, complete genome.
0.00 ENA|CP002743|CP002743.1 Bifidobacterium breve ACS-071-V-Sch8b, complete genome.
0.00 ENA|CP003329|CP003329.1 Bacillus subtilis subsp. subtilis 6051-HGW, complete genome.
0.00 ENA|CP002453|CP002453.1 Cellulophaga algicola DSM 14237, complete genome.
0.00 ENA|CP003699|CP003699.2 Mycobacterium massiliense str. GO 06, complete genome.
0.00 ENA|CP000250|CP000250.1 Rhodopseudomonas palustris HaA2, complete genome.
0.00 ENA|CP000653|CP000653.1 Enterobacter sp. 638, complete genome.
0.00 ENA|CP000325|CP000325.1 Mycobacterium ulcerans Agy99, complete genome.
0.00 ENA|CP002994|CP002994.1 Streptomyces violaceusniger Tu 4113, complete genome.
0.00 ENA|CP000383|CP000383.1 Cytophaga hutchinsonii ATCC 33406, complete genome.
0.00 ENA|CP000783|CP000783.1 Cronobacter sakazakii ATCC BAA-894, complete genome.
0.00 ENA|CP002886|CP002886.1 Enterobacter cloacae EcWSU1, complete genome.
0.00 ENA|CP003346|CP003346.1 Echinicola vietnamensis DSM 17526, complete genome.
0.00 ENA|CP003787|CP003787.1 Riemerella anatipestifer RA-CH-1, complete genome.
0.00 ENA|CP001699|CP001699.1 Chitinophaga pinensis DSM 2588, complete genome.
0.00 ENA|FM211192|FM211192.1 Mycobacterium leprae Br4923, complete genome sequence
0.00 ENA|CP003169|CP003169.1 Mycobacterium rhodesiae NBB3, complete genome.
0.00 ENA|CP003879|CP003879.1 Psychroflexus torquis ATCC 700755, complete genome.
0.00 ENA|CP004405|CP004405.1 Bacillus subtilis subsp. subtilis str. BAB-1, complete genome.
0.00 ENA|AP011115|AP011115.1 Rhodococcus opacus B4 DNA, complete genome.
0.00 ENA|FP236842|FP236842.1 Erwinia pyrifoliae strain Ep1/96 complete chromosome.
0.00 ENA|FN666575|FN666575.1 Erwinia amylovora ATCC 49946 chromosomal sequence.
0.00 ENA|CP002246|CP002246.1 Yersinia enterocolitica subsp. palearctica 105.5R(r), complete genome.
0.00 ENA|CP003176|CP003176.1 Brucella abortus A13334 chromosome 1, complete sequence.
0.00 ENA|CP003388|CP003388.1 Riemerella anatipestifer ATCC 11845 = DSM 15868, complete genome.
0.00 ENA|CP003349|CP003349.1 Solitalea canadensis DSM 3403, complete genome.
0.00 ENA|CP002000|CP002000.1 Amycolatopsis mediterranei U32, complete genome.
0.00 ENA|AP009044|AP009044.1 Corynebacterium glutamicum R DNA, complete genome.
0.00 ENA|CP003720|CP003720.1 Streptomyces hygroscopicus subsp. jinggangensis TL01, complete genome.
0.00 ENA|CP002220|CP002220.1 Bifidobacterium bifidum S17, complete genome.
0.00 ENA|CP002177|CP002177.1 Acinetobacter calcoaceticus PHEA-2, complete genome.
0.00 ENA|CP002026|CP002026.1 Starkeya novella DSM 506, complete genome.
0.00 ENA|CP003737|CP003737.1 Enterobacter cloacae subsp. cloacae ENHKU01, complete genome.
0.00 ENA|CP002496|CP002496.1 Pseudomonas aeruginosa M18, complete genome.
0.00 ENA|CP002955|CP002955.1 Cyclobacterium marinum DSM 745, complete genome.
0.00 ENA|CP001804|CP001804.1 Haliangium ochraceum DSM 14365, complete genome.
0.00 ENA|FP929032|FP929032.1 Alistipes shahii WAL 8301 draft genome.
0.00 ENA|AP012342|AP012342.1 Leptospirillum ferrooxidans C2-3 DNA, complete genome.
0.00 ENA|CP001147|CP001147.1 Thermodesulfovibrio yellowstonii DSM 11347, complete genome.
0.00 ENA|AP010968|AP010968.1 Kitasatospora setae KM-6054 DNA, complete genome.
0.00 ENA|CP002433|CP002433.1 Pantoea sp. At-9b, complete genome.
0.00 ENA|CP002919|CP002919.1 Leptospirillum ferriphilum ML-04, complete genome.
0.00 ENA|AP009384|AP009384.1 Azorhizobium caulinodans ORS 571 DNA, complete genome.
0.00 ENA|CP002352|CP002352.1 Bacteroides helcogenes P 36-108, complete genome.
0.00 ENA|CP001681|CP001681.1 Pedobacter heparinus DSM 2366, complete genome.
0.00 ENA|CP003990|CP003990.1 Streptomyces sp. PAMC26508, complete genome.
0.00 ENA|CP000803|CP000803.1 Francisella tularensis subsp. holarctica FTNF002-00, complete genome.
0.00 ENA|CP002528|CP002528.1 Krokinobacter sp. 4H-3-7-5, complete genome.
0.00 ENA|CP002638|CP002638.1 Verrucosispora maris AB-18-032, complete genome.
0.00 ENA|CP002917|CP002917.1 Corynebacterium variabile DSM 44702, complete genome.
0.00 ENA|CP003742|CP003742.1 Octadecabacter arcticus 238, complete genome.
0.00 ENA|CM000748|CM000748.1 Bacillus thuringiensis serovar thuringiensis str. T01001 chromosome, whole genome shotgun sequence.
0.00 ENA|CP005287|CP005287.1 Propionibacterium avidum 44067, complete genome.
0.00 ENA|CP002530|CP002530.1 Bacteroides salanitronis DSM 18170, complete genome.
0.00 ENA|AP009256|AP009256.1 Bifidobacterium adolescentis ATCC 15703 DNA, complete genome.
0.00 ENA|HE617159|HE617159.1 Bacillus amyloliquefaciens subsp. plantarum CAU B946 complete genome
0.00 ENA|CU207366|CU207366.1 Gramella forsetii KT0803 complete circular genome.
0.00 ENA|CP002213|CP002213.2 Paenibacillus polymyxa SC2, complete genome.
0.00 ENA|FQ311875|FQ311875.1 Arthrobacter arilaitensis RE117 chromosome, complete sequence.
0.00 ENA|FP885895|FP885895.1 Ralstonia solanacearum CMR15 chromosome, complete genome
0.00 ENA|CP005383|CP005383.1 Mannheimia haemolytica M42548, complete genome.
0.00 ENA|FN563149|FN563149.1 Rhodococcus equi 103S chromosome
0.00 ENA|CP002331|CP002331.1 Helicobacter pylori India7, complete genome.
0.00 ENA|CP002983|CP002983.1 Helicobacter pylori SNT49, complete genome.
0.00 ENA|AP012601|AP012601.1 Helicobacter pylori OK310 DNA, complete genome.
0.00 ENA|CP001836|CP001836.1 Dickeya dadantii Ech586, complete genome.
0.00 ENA|HE971709|HE971709.1 Streptomyces davawensis strain JCM 4913 complete genome
0.00 ENA|CP001875|CP001875.2 Pantoea ananatis LMG 20103, complete genome.
0.00 ENA|CP003697|CP003697.1 Corynebacterium halotolerans YIM 70093 = DSM 44683, complete genome.
0.00 ENA|CP004346|CP004346.1 Bifidobacterium thermophilum RBL67, complete genome.
0.00 ENA|CP002552|CP002552.1 Nitrosomonas sp. AL212, complete genome.
0.00 ENA|CP002589|CP002589.1 Prevotella denticola F0289, complete genome.
0.00 ENA|CP000362|CP000362.1 Roseobacter denitrificans OCh 114, complete genome.
0.00 ENA|CP001673|CP001673.1 Flavobacteriaceae bacterium 3519-10, complete genome.
0.00 ENA|AM421808|AM421808.1 Neisseria meningitidis serogroup C FAM18 complete genome
0.00 ENA|CP000031|CP000031.2 Ruegeria pomeroyi DSS-3, complete genome.
0.00 ENA|AP008232|AP008232.1 Sodalis glossinidius str. &apos;morsitans&apos; DNA, complete genome.
0.00 ENA|AE005673|AE005673.1 Caulobacter crescentus CB15, complete genome.
0.00 ENA|CP000148|CP000148.1 Geobacter metallireducens GS-15, complete genome.
0.00 ENA|CP000086|CP000086.1 Burkholderia thailandensis E264 chromosome I, complete sequence.
0.00 ENA|CT573213|CT573213.2 Frankia alni str. ACN14A chromosome, complete sequence.
0.00 ENA|CP002293|CP002293.1 Geobacillus sp. Y4.1MC1, complete genome.
0.00 ENA|CP002165|CP002165.1 Xylella fastidiosa subsp. fastidiosa GB514, complete genome.
0.00 ENA|FP929043|FP929043.1 Eubacterium rectale M104/1 draft genome.
0.00 ENA|CP000458|CP000458.1 Burkholderia cenocepacia HI2424 chromosome 1, complete sequence.
0.00 ENA|FQ859183|FQ859183.1 Flavobacterium branchiophilum FL-15, complete genome.
0.00 ENA|AM942444|AM942444.1 Corynebacterium urealyticum DSM 7109 complete genome
0.00 ENA|CP001807|CP001807.1 Rhodothermus marinus DSM 4252, complete genome.
0.00 ENA|AP008957|AP008957.1 Rhodococcus erythropolis PR4 DNA, complete genome.
0.00 ENA|CP003308|CP003308.1 Rickettsia philipii str. 364D, complete genome.
0.00 ENA|AM849034|AM849034.1 Clavibacter michiganensis subsp. sepedonicus complete genome
0.00 ENA|CP002912|CP002912.1 Rickettsia heilongjiangensis 054, complete genome.
0.00 ENA|AE016795|AE016795.3 Vibrio vulnificus CMCP6 chromosome I, complete sequence.
0.00 ENA|CP002798|CP002798.1 Sphingobium chlorophenolicum L-1 chromosome 1, complete sequence.
0.00 ENA|AP006618|AP006618.1 Nocardia farcinica IFM 10152 DNA, complete genome.
0.00 ENA|HE774682|HE774682.1 Flavobacterium indicum GPTSA100-9 complete genome
0.00 ENA|CP001298|CP001298.1 Methylobacterium extorquens CM4, complete genome.
0.00 ENA|AP012204|AP012204.1 Microlunatus phosphovorus NM-1 DNA, complete genome.
0.00 ENA|AE003849|AE003849.1 Xylella fastidiosa 9a5c, complete genome.
0.00 ENA|CP000512|CP000512.1 Acidovorax citrulli AAC00-1, complete genome.
0.00 ENA|CP000316|CP000316.1 Polaromonas sp. JS666, complete genome.
0.00 ENA|CP002745|CP002745.1 Collimonas fungivorans Ter331, complete genome.
0.00 ENA|FN806773|FN806773.1 Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1, complete genome
0.00 ENA|CP000282|CP000282.1 Saccharophagus degradans 2-40, complete genome.
0.00 ENA|CP000509|CP000509.1 Nocardioides sp. JS614, complete genome.
0.00 ENA|CP001620|CP001620.1 Corynebacterium kroppenstedtii DSM 44385, complete genome.
0.00 ENA|CP002786|CP002786.1 Amycolicicoccus subflavus DQS3-9A1, complete genome.
0.00 ENA|CP002545|CP002545.1 Pedobacter saltans DSM 12145, complete genome.
0.00 ENA|CP002568|CP002568.1 Polymorphum gilvum SL003B-26A1, complete genome.
0.00 ENA|CP000934|CP000934.1 Cellvibrio japonicus Ueda107, complete genome.
0.00 ENA|CP003740|CP003740.1 Octadecabacter antarcticus 307, complete genome.
0.00 ENA|CP003046|CP003046.1 Rhodospirillum rubrum F11, complete genome.
0.00 ENA|CP000539|CP000539.1 Acidovorax sp. JS42, complete genome.
0.00 ENA|AE007870|AE007870.2 Agrobacterium tumefaciens str. C58 linear chromosome, complete sequence.
0.00 ENA|CP002512|CP002512.1 Aerococcus urinae ACS-120-V-Col10a, complete genome.
0.00 ENA|CP002305|CP002305.1 Leadbetterella byssophila DSM 17132, complete genome.
0.00 ENA|CP001629|CP001629.1 Desulfomicrobium baculatum DSM 4028, complete genome.
0.00 ENA|CP002534|CP002534.1 Cellulophaga lytica DSM 7489, complete genome.
0.00 ENA|CP002006|CP002006.1 Prevotella ruminicola 23, complete genome.
0.00 ENA|CP000557|CP000557.1 Geobacillus thermodenitrificans NG80-2, complete genome.
0.00 ENA|CP001794|CP001794.1 Geobacillus sp. Y412MC61, complete genome.
0.00 ENA|CP000490|CP000490.1 Paracoccus denitrificans PD1222 chromosome 2, complete sequence.
0.00 ENA|CP003177|CP003177.1 Brucella abortus A13334 chromosome 2, complete sequence.
0.00 ENA|CU633749|CU633749.1 Cupriavidus taiwanensis str. LMG19424 chromosome 1, complete genome.
0.00 ENA|CP002104|CP002104.1 Gardnerella vaginalis ATCC 14019, complete genome.
0.00 ENA|CM000833|CM000833.1 Burkholderia pseudomallei 1710a chromosome II, whole genome shotgun sequence.
0.00 ENA|BA000035|BA000035.2 Corynebacterium efficiens YS-314 DNA, complete genome.
0.00 ENA|CP002224|CP002224.1 Ketogulonicigenium vulgare Y25, complete genome.
0.00 ENA|FR687359|FR687359.1 Burkholderia rhizoxinica HKI 454, complete genome
0.00 ENA|CP001601|CP001601.1 Corynebacterium aurimucosum ATCC 700975, complete genome.
0.00 ENA|CP001686|CP001686.1 Kytococcus sedentarius DSM 20547, complete genome.
0.00 ENA|CP002123|CP002123.1 Prevotella melaninogenica ATCC 25845 chromosome II, complete sequence.
0.00 ENA|CP002326|CP002326.1 Caldicellulosiruptor kristjanssonii I77R1B, complete genome.
0.00 ENA|AM999887|AM999887.1 Wolbachia endosymbiont of Culex quinquefasciatus Pel strain wPip complete genome
0.00 ENA|CP003338|CP003338.1 Rickettsia australis str. Cutlack, complete genome.
0.00 ENA|AE016822|AE016822.1 Leifsonia xyli subsp. xyli str. CTCB07, complete genome.
0.00 ENA|CP002455|CP002455.1 Weeksella virosa DSM 16922, complete genome.
0.00 ENA|CP002818|CP002818.1 Sulfolobus acidocaldarius Ron12/I, complete genome.
0.00 ENA|CP001992|CP001992.1 Mobiluncus curtisii ATCC 43063, complete genome.
0.00 ENA|CR354532|CR354532.1 Photobacterium profundum SS9 chromosome 2
0.00 ENA|CP003481|CP003481.1 Helicobacter cetorum MIT 99-5656, complete genome.
0.00 ENA|CP000235|CP000235.1 Anaplasma phagocytophilum HZ, complete genome.
