Composition:
0.03 ENA|CP000473|CP000473.1 Solibacter usitatus Ellin6076, complete genome.
0.00 ENA|CP003323|CP003323.1 Mycobacterium intracellulare MOTT-02, complete genome.
0.00 ENA|CP003322|CP003322.1 Mycobacterium intracellulare ATCC 13950, complete genome.
0.00 ENA|CP002275|CP002275.1 Mycobacterium indicus pranii MTCC 9506, complete genome.
0.00 ENA|CP000857|CP000857.1 Salmonella enterica subsp. enterica serovar Paratyphi C strain RKS4594, complete genome.
0.00 ENA|CP001829|CP001829.1 Corynebacterium pseudotuberculosis C231, complete genome.
0.00 ENA|CP001144|CP001144.1 Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853, complete genome.
0.00 ENA|CP003386|CP003386.1 Salmonella enterica subsp. enterica serovar Typhimurium str. 798, complete genome.
0.00 ENA|CP000886|CP000886.1 Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7, complete genome.
0.00 ENA|CP004079|CP004079.1 Dehalococcoides mccartyi DCMB5, complete genome.
0.00 ENA|CU928158|CU928158.2 Escherichia fergusonii ATCC 35469 chromosome, complete genome
0.00 ENA|CP004080|CP004080.1 Dehalococcoides mccartyi BTF08, complete genome.
0.00 ENA|CP003421|CP003421.3 Corynebacterium pseudotuberculosis 31, complete genome.
0.00 ENA|CP001275|CP001275.1 Thermomicrobium roseum DSM 5159, complete genome.
0.00 ENA|AJ965256|AJ965256.1 Dehalococcoides sp. CBDB1 complete genome
0.00 ENA|CP003652|CP003652.1 Corynebacterium pseudotuberculosis Cp162, complete genome.
0.00 ENA|CP001924|CP001924.1 Dehalococcoides sp. GT, complete genome.
0.00 ENA|CP003084|CP003084.1 Propionibacterium acnes ATCC 11828, complete genome.
0.00 ENA|CP000688|CP000688.1 Dehalococcoides sp. BAV1, complete genome.
0.00 ENA|CP001892|CP001892.1 Bifidobacterium animalis subsp. lactis V9, complete genome.
0.00 ENA|CP000518|CP000518.1 Mycobacterium sp. KMS, complete genome.
0.00 ENA|AP009510|AP009510.1 Uncultured Termite group 1 bacterium phylotype Rs-D17 DNA, complete genome.
0.00 ENA|CP002084|CP002084.1 Dehalogenimonas lykanthroporepellens BL-DC-9, complete genome.
0.00 ENA|CP005928|CP005928.1 Mycobacterium avium subsp. paratuberculosis MAP4, complete genome.
0.00 ENA|CP001110|CP001110.1 Pelodictyon phaeoclathratiforme BU-1, complete genome.
0.00 ENA|AP012603|AP012603.1 Bradyrhizobium oligotrophicum S58 DNA, complete genome.
0.00 ENA|CP000492|CP000492.1 Chlorobium phaeobacteroides DSM 266, complete genome.
0.00 ENA|CP000027|CP000027.1 Dehalococcoides ethenogenes 195, complete genome.
0.00 ENA|CP001100|CP001100.1 Chloroherpeton thalassium ATCC 35110, complete genome.
0.00 ENA|CP001101|CP001101.1 Chlorobium phaeobacteroides BS1, complete genome.
0.00 ENA|CP001827|CP001827.1 Dehalococcoides sp. VS, complete genome.
0.00 ENA|CP003215|CP003215.1 Corynebacterium diphtheriae HC04, complete genome.
0.00 ENA|CP002794|CP002794.1 Bifidobacterium longum subsp. longum KACC 91563, complete genome.
0.00 ENA|CP003214|CP003214.1 Corynebacterium diphtheriae HC03, complete genome.
0.00 ENA|FP929034|FP929034.1 Bifidobacterium longum subsp. longum F8 draft genome.
0.00 ENA|CP002286|CP002286.1 Bifidobacterium longum subsp. longum BBMN68, complete genome.
0.00 ENA|CP002567|CP002567.1 Bifidobacterium animalis subsp. animalis ATCC 25527, complete genome.
0.00 ENA|CP001095|CP001095.1 Bifidobacterium longum subsp. infantis ATCC 15697, complete genome.
0.00 ENA|CP003211|CP003211.1 Corynebacterium diphtheriae CDCE 8392, complete genome.
0.00 ENA|CP001108|CP001108.1 Prosthecochloris aestuarii DSM 271, complete genome.
0.00 ENA|CP000108|CP000108.1 Chlorobium chlorochromatii CaD3, complete genome.
0.00 ENA|CP002385|CP002385.1 Mycobacterium gilvum Spyr1, complete genome.
0.00 ENA|CP001824|CP001824.1 Sphaerobacter thermophilus DSM 20745 chromosome 2, complete sequence.
0.00 ENA|CP001921|CP001921.1 Acinetobacter baumannii 1656-2, complete genome.
0.00 ENA|CP000096|CP000096.1 Chlorobium luteolum DSM 273, complete genome.
0.00 ENA|CP002691|CP002691.1 Haliscomenobacter hydrossis DSM 1100, complete genome.
0.00 ENA|CP001099|CP001099.1 Chlorobaculum parvum NCIB 8327, complete genome.
0.00 ENA|CP000607|CP000607.1 Chlorobium phaeovibrioides DSM 265, complete genome.
0.00 ENA|FP929003|FP929003.1 Candidatus Nitrospira defluvii chromosome, complete genome.
0.00 ENA|CP001800|CP001800.1 Sulfolobus solfataricus 98/2, complete genome.
0.00 ENA|HE995405|HE995405.1 Sinorhizobium meliloti Rm41 complete genome
0.00 ENA|CU459141|CU459141.1 Acinetobacter baumannii str. AYE, complete genome.
0.00 ENA|CP001699|CP001699.1 Chitinophaga pinensis DSM 2588, complete genome.
0.00 ENA|BX470250|BX470250.1 Bordetella bronchiseptica strain RB50, complete genome
0.00 ENA|AP011163|AP011163.1 Acetobacter pasteurianus IFO 3283-01-42C DNA, complete genome.
0.00 ENA|AE006470|AE006470.1 Chlorobium tepidum TLS, complete genome.
0.00 ENA|BX470248|BX470248.1 Bordetella pertussis strain Tohama I, complete genome
0.00 ENA|CP003329|CP003329.1 Bacillus subtilis subsp. subtilis 6051-HGW, complete genome.
0.00 ENA|CP000783|CP000783.1 Cronobacter sakazakii ATCC BAA-894, complete genome.
0.00 ENA|CP002859|CP002859.1 Runella slithyformis DSM 19594, complete genome.
0.00 ENA|CP002743|CP002743.1 Bifidobacterium breve ACS-071-V-Sch8b, complete genome.
0.00 ENA|CU458896|CU458896.1 Mycobacterium abscessus ATCC 19977 chromosome, complete sequence.
0.00 ENA|CP000303|CP000303.1 Bifidobacterium breve UCC2003, complete genome.
0.00 ENA|CP003787|CP003787.1 Riemerella anatipestifer RA-CH-1, complete genome.
0.00 ENA|CP002791|CP002791.1 Corynebacterium ulcerans BR-AD22, complete genome.
0.00 ENA|HE802067|HE802067.1 Corynebacterium glutamicum K051 complete genome, strain ATCC 13032, sub-strain K051
0.00 ENA|CP001561|CP001561.1 Neisseria meningitidis alpha710, complete genome.
0.00 ENA|CP003349|CP003349.1 Solitalea canadensis DSM 3403, complete genome.
0.00 ENA|CP002544|CP002544.1 Odoribacter splanchnicus DSM 20712, complete genome.
0.00 ENA|CP001147|CP001147.1 Thermodesulfovibrio yellowstonii DSM 11347, complete genome.
0.00 ENA|AP006725|AP006725.1 Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 DNA, complete genome.
0.00 ENA|CP000383|CP000383.1 Cytophaga hutchinsonii ATCC 33406, complete genome.
0.00 ENA|CP003388|CP003388.1 Riemerella anatipestifer ATCC 11845 = DSM 15868, complete genome.
0.00 ENA|FM211192|FM211192.1 Mycobacterium leprae Br4923, complete genome sequence
0.00 ENA|FP929032|FP929032.1 Alistipes shahii WAL 8301 draft genome.
0.00 ENA|CP003169|CP003169.1 Mycobacterium rhodesiae NBB3, complete genome.
0.00 ENA|CP003492|CP003492.1 Bacillus sp. JS, complete genome.
0.00 ENA|CP003346|CP003346.1 Echinicola vietnamensis DSM 17526, complete genome.
0.00 ENA|AP009384|AP009384.1 Azorhizobium caulinodans ORS 571 DNA, complete genome.
0.00 ENA|CP003879|CP003879.1 Psychroflexus torquis ATCC 700755, complete genome.
0.00 ENA|CP000803|CP000803.1 Francisella tularensis subsp. holarctica FTNF002-00, complete genome.
0.00 ENA|CP002220|CP002220.1 Bifidobacterium bifidum S17, complete genome.
0.00 ENA|CP002919|CP002919.1 Leptospirillum ferriphilum ML-04, complete genome.
0.00 ENA|CP003699|CP003699.2 Mycobacterium massiliense str. GO 06, complete genome.
0.00 ENA|FQ311875|FQ311875.1 Arthrobacter arilaitensis RE117 chromosome, complete sequence.
0.00 ENA|CP002955|CP002955.1 Cyclobacterium marinum DSM 745, complete genome.
0.00 ENA|CP002542|CP002542.1 Fluviicola taffensis DSM 16823, complete genome.
0.00 ENA|AP012342|AP012342.1 Leptospirillum ferrooxidans C2-3 DNA, complete genome.
0.00 ENA|CP003740|CP003740.1 Octadecabacter antarcticus 307, complete genome.
0.00 ENA|FQ859183|FQ859183.1 Flavobacterium branchiophilum FL-15, complete genome.
0.00 ENA|AP010968|AP010968.1 Kitasatospora setae KM-6054 DNA, complete genome.
0.00 ENA|AL645882|AL645882.2 Streptomyces coelicolor A3(2) complete genome
0.00 ENA|CP003415|CP003415.1 Pectobacterium sp. SCC3193, complete genome.
0.00 ENA|CP005287|CP005287.1 Propionibacterium avidum 44067, complete genome.
0.00 ENA|CP002453|CP002453.1 Cellulophaga algicola DSM 14237, complete genome.
0.00 ENA|CP002545|CP002545.1 Pedobacter saltans DSM 12145, complete genome.
0.00 ENA|CP001875|CP001875.2 Pantoea ananatis LMG 20103, complete genome.
0.00 ENA|CP002008|CP002008.1 Caulobacter segnis ATCC 21756, complete genome.
0.00 ENA|CP002246|CP002246.1 Yersinia enterocolitica subsp. palearctica 105.5R(r), complete genome.
0.00 ENA|CP001638|CP001638.1 Geobacillus sp. WCH70, complete genome.
0.00 ENA|BX571966|BX571966.1 Burkholderia pseudomallei strain K96243, chromosome 2, complete sequence.
0.00 ENA|CP002496|CP002496.1 Pseudomonas aeruginosa M18, complete genome.
0.00 ENA|HE617159|HE617159.1 Bacillus amyloliquefaciens subsp. plantarum CAU B946 complete genome
0.00 ENA|CP000086|CP000086.1 Burkholderia thailandensis E264 chromosome I, complete sequence.
0.00 ENA|CP003419|CP003419.1 Helicobacter pylori XZ274, complete genome.
0.00 ENA|CP000758|CP000758.1 Ochrobactrum anthropi ATCC 49188 chromosome 1, complete sequence.
0.00 ENA|AP012601|AP012601.1 Helicobacter pylori OK310 DNA, complete genome.
0.00 ENA|AP012204|AP012204.1 Microlunatus phosphovorus NM-1 DNA, complete genome.
0.00 ENA|CP001673|CP001673.1 Flavobacteriaceae bacterium 3519-10, complete genome.
0.00 ENA|BX571963|BX571963.1 Rhodopseudomonas palustris CGA009 complete genome.
0.00 ENA|AP011943|AP011943.1 Helicobacter pylori F32 DNA, complete genome.
0.00 ENA|CP002418|CP002418.1 Rhodopseudomonas palustris DX-1, complete genome.
0.00 ENA|CP000826|CP000826.1 Serratia proteamaculans 568, complete genome.
0.00 ENA|CP001700|CP001700.1 Catenulispora acidiphila DSM 44928, complete genome.
0.00 ENA|CP002994|CP002994.1 Streptomyces violaceusniger Tu 4113, complete genome.
0.00 ENA|CP001681|CP001681.1 Pedobacter heparinus DSM 2366, complete genome.
0.00 ENA|CP003872|CP003872.1 Acidovorax sp. KKS102, complete genome.
0.00 ENA|FN806773|FN806773.1 Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1, complete genome
0.00 ENA|CP002000|CP002000.1 Amycolatopsis mediterranei U32, complete genome.
0.00 ENA|FN563149|FN563149.1 Rhodococcus equi 103S chromosome
0.00 ENA|CP001802|CP001802.1 Gordonia bronchialis DSM 43247, complete genome.
0.00 ENA|CP000509|CP000509.1 Nocardioides sp. JS614, complete genome.
0.00 ENA|CP001807|CP001807.1 Rhodothermus marinus DSM 4252, complete genome.
0.00 ENA|CP003720|CP003720.1 Streptomyces hygroscopicus subsp. jinggangensis TL01, complete genome.
0.00 ENA|CP001715|CP001715.1 Candidatus Accumulibacter phosphatis clade IIA str. UW-1, complete genome.
0.00 ENA|CP001836|CP001836.1 Dickeya dadantii Ech586, complete genome.
0.00 ENA|HE971709|HE971709.1 Streptomyces davawensis strain JCM 4913 complete genome
0.00 ENA|CP002184|CP002184.1 Helicobacter pylori 908, complete genome.
0.00 ENA|CP005929|CP005929.1 Actinoplanes sp. N902-109, complete genome.
0.00 ENA|CP003697|CP003697.1 Corynebacterium halotolerans YIM 70093 = DSM 44683, complete genome.
0.00 ENA|AM942444|AM942444.1 Corynebacterium urealyticum DSM 7109 complete genome
0.00 ENA|BA000035|BA000035.2 Corynebacterium efficiens YS-314 DNA, complete genome.
0.00 ENA|CP002299|CP002299.1 Frankia sp. EuI1c, complete genome.
0.00 ENA|CP002589|CP002589.1 Prevotella denticola F0289, complete genome.
0.00 ENA|CP000820|CP000820.1 Frankia sp. EAN1pec, complete genome.
0.00 ENA|CP001819|CP001819.1 Sanguibacter keddieii DSM 10542, complete genome.
0.00 ENA|AE014291|AE014291.4 Brucella suis 1330 chromosome I, complete sequence.
0.00 ENA|CP000362|CP000362.1 Roseobacter denitrificans OCh 114, complete genome.
0.00 ENA|CP002530|CP002530.1 Bacteroides salanitronis DSM 18170, complete genome.
0.00 ENA|CP004141|CP004141.1 Edwardsiella piscicida C07-087, complete genome.
0.00 ENA|AP011533|AP011533.1 Rickettsia japonica YH DNA, complete genome.
0.00 ENA|CU207366|CU207366.1 Gramella forsetii KT0803 complete circular genome.
0.00 ENA|CP002534|CP002534.1 Cellulophaga lytica DSM 7489, complete genome.
0.00 ENA|CP002165|CP002165.1 Xylella fastidiosa subsp. fastidiosa GB514, complete genome.
0.00 ENA|CP003040|CP003040.1 Roseburia hominis A2-183, complete genome.
0.00 ENA|CP003280|CP003280.1 Aequorivita sublithincola DSM 14238, complete genome.
0.00 ENA|CP000526|CP000526.1 Burkholderia mallei SAVP1 chromosome I, complete sequence.
0.00 ENA|CP000115|CP000115.1 Nitrobacter winogradskyi Nb-255, complete genome.
0.00 ENA|AP009256|AP009256.1 Bifidobacterium adolescentis ATCC 15703 DNA, complete genome.
0.00 ENA|CP002552|CP002552.1 Nitrosomonas sp. AL212, complete genome.
0.00 ENA|CP000459|CP000459.1 Burkholderia cenocepacia HI2424 chromosome 2, complete sequence.
0.00 ENA|HE774682|HE774682.1 Flavobacterium indicum GPTSA100-9 complete genome
0.00 ENA|CP003119|CP003119.1 Gordonia polyisoprenivorans VH2, complete genome.
0.00 ENA|FO203431|FO203431.1 Modestobacter marinus str. BC501 chromosome, complete genome.
0.00 ENA|CP000699|CP000699.1 Sphingomonas wittichii RW1, complete genome.
0.00 ENA|CP000542|CP000542.1 Verminephrobacter eiseniae EF01-2, complete genome.
0.00 ENA|CP001087|CP001087.1 Desulfobacterium autotrophicum HRM2, complete genome.
0.00 ENA|CP000512|CP000512.1 Acidovorax citrulli AAC00-1, complete genome.
0.00 ENA|AM902716|AM902716.1 Bordetella petrii strain DSM 12804, complete genome
0.00 ENA|AP012320|AP012320.1 Rubrivivax gelatinosus IL144 DNA, complete genome.
0.00 ENA|AE016822|AE016822.1 Leifsonia xyli subsp. xyli str. CTCB07, complete genome.
0.00 ENA|CP002914|CP002914.1 Xanthomonas axonopodis pv. citrumelo F1, complete genome.
0.00 ENA|CP002786|CP002786.1 Amycolicicoccus subflavus DQS3-9A1, complete genome.
0.00 ENA|CP002568|CP002568.1 Polymorphum gilvum SL003B-26A1, complete genome.
0.00 ENA|CP002583|CP002583.1 Marinomonas mediterranea MMB-1, complete genome.
0.00 ENA|CP003283|CP003283.1 Ornithobacterium rhinotracheale DSM 15997, complete genome.
0.00 ENA|CP002818|CP002818.1 Sulfolobus acidocaldarius Ron12/I, complete genome.
0.00 ENA|CP000471|CP000471.1 Magnetococcus marinus MC-1, complete genome.
0.00 ENA|CP003046|CP003046.1 Rhodospirillum rubrum F11, complete genome.
0.00 ENA|CP002535|CP002535.1 Acidianus hospitalis W1, complete genome.
0.00 ENA|CP003742|CP003742.1 Octadecabacter arcticus 238, complete genome.
0.00 ENA|AE007870|AE007870.2 Agrobacterium tumefaciens str. C58 linear chromosome, complete sequence.
0.00 ENA|CP001964|CP001964.1 Cellulomonas flavigena DSM 20109, complete genome.
0.00 ENA|CP002512|CP002512.1 Aerococcus urinae ACS-120-V-Col10a, complete genome.
0.00 ENA|CP002352|CP002352.1 Bacteroides helcogenes P 36-108, complete genome.
0.00 ENA|CP000759|CP000759.1 Ochrobactrum anthropi ATCC 49188 chromosome 2, complete sequence.
0.00 ENA|CP002006|CP002006.1 Prevotella ruminicola 23, complete genome.
0.00 ENA|CP000675|CP000675.2 Legionella pneumophila str. Corby, complete genome.
0.00 ENA|CP002446|CP002446.1 Pseudoxanthomonas suwonensis 11-1, complete genome.
0.00 ENA|AM711867|AM711867.1 Clavibacter michiganensis subsp. michiganensis NCPPB 382 complete genome
0.00 ENA|CP004889|CP004889.1 Rickettsia prowazekii str. Breinl, complete genome.
0.00 ENA|CP002104|CP002104.1 Gardnerella vaginalis ATCC 14019, complete genome.
0.00 ENA|CP002798|CP002798.1 Sphingobium chlorophenolicum L-1 chromosome 1, complete sequence.
0.00 ENA|FR687359|FR687359.1 Burkholderia rhizoxinica HKI 454, complete genome
0.00 ENA|CP001686|CP001686.1 Kytococcus sedentarius DSM 20547, complete genome.
0.00 ENA|CP003380|CP003380.1 Methylophaga frappieri strain JAM7, complete genome.
0.00 ENA|CP000629|CP000629.1 Agrobacterium radiobacter K84 chromosome 2, complete sequence.
0.00 ENA|CP005383|CP005383.1 Mannheimia haemolytica M42548, complete genome.
0.00 ENA|AM999887|AM999887.1 Wolbachia endosymbiont of Culex quinquefasciatus Pel strain wPip complete genome
0.00 ENA|CP000481|CP000481.1 Acidothermus cellulolyticus 11B, complete genome.
0.00 ENA|CP002455|CP002455.1 Weeksella virosa DSM 16922, complete genome.
0.00 ENA|CP002205|CP002205.1 Sulfurimonas autotrophica DSM 16294, complete genome.
0.00 ENA|CP001992|CP001992.1 Mobiluncus curtisii ATCC 43063, complete genome.
0.00 ENA|CR354532|CR354532.1 Photobacterium profundum SS9 chromosome 2
0.00 ENA|CP000937|CP000937.1 Francisella philomiragia subsp. philomiragia ATCC 25017, complete genome.
0.00 ENA|AE004092|AE004092.2 Streptococcus pyogenes M1 GAS, complete genome.
0.00 ENA|AP008981|AP008981.1 Orientia tsutsugamushi str. Ikeda DNA, complete genome.
0.00 ENA|CP003321|CP003321.1 Desulfurococcus fermentans DSM 16532, complete genome.
0.00 ENA|CP000235|CP000235.1 Anaplasma phagocytophilum HZ, complete genome.
0.00 ENA|CP000816|CP000816.1 Ignicoccus hospitalis KIN4/I, complete genome.
0.00 ENA|AE017196|AE017196.1 Wolbachia endosymbiont of Drosophila melanogaster, complete genome.
0.00 ENA|CP001079|CP001079.1 Anaplasma marginale str. Florida, complete genome.
